names,values_a,values_b
Mychal Von,2988,2301
Rutha Pacocha,1436,242
Dr. Evon Zemlak PhD,8719,7560
Dr. Biddie VonRueden DVM,470,2545
January Hickle,4126,1356
Ms. Joni Lubowitz PhD,1406,2994
Dr. Mitch Will,731,8810
Gaylen Hudson,4909,250
Verdell Maggio,8030,4914
Lorin Krajcik,8237,411
Lura Breitenberg,4660,7471
Shelvia Rempel-Franecki,9219,8048
Haruko O'Connell,5401,8896
Derrick Ritchie,2978,3238
Courtney Schiller,2350,9555
Kennedi Bartoletti,107,7933
Courtney Blick,998,4388
Mr. Jaret Turner,5222,1728
Luc Feeney,7926,8365
Rocky Luettgen-Koss,9744,530
Kyson Wisozk,4400,6642
Miss Joni Lesch DVM,8622,940
Danial Dare III,1923,6628
Mr. Seamus Davis IV,152,7392
Felipa Marquardt DVM,4834,5131
Oma Dickinson,2142,1778
Texie Windler,4767,9566
Chelsea Carroll DVM,7088,2229
Sam Stark,9508,8480
Eldred Howe,2865,4105
Dennie Goyette,7571,3611
Mrs. Carolynn Cole PhD,1847,6757
Renee Toy-Kuhn,8449,5804
Verner Beier,3818,8896
Rosanna Torphy,5542,276
Joaquin Waelchi II,8973,3248
Mr. Lars Medhurst,6017,8772
Leonie Rolfson-Kuphal,5212,4082
Washington Bernier,2978,6123
Dustan Borer-Emard,5127,2592
Margretta Williamson,5358,1813
Derek Schowalter-Luettgen,3372,6871
Mr. Clive Monahan MD,8614,616
Alia Cremin DDS,3738,4115
Norita Rath,1321,794
Murphy Murazik DDS,4156,5654
Elzie Senger,368,9463
Jerod Considine,694,5362
Canyon Haag,3572,5574
Santa Abshire,9471,5111
Catrina Haley,7709,5384
Rolf Predovic-Mertz,8037,3503
Mr. Bret Lockman PhD,973,8990
Media Prohaska DVM,8379,2459
Linette Cremin,9382,2141
Claudie Fisher,7015,8409
Madeleine Bode,5791,4939
Donta Yundt,9078,7354
Dr. Kenney Lowe,5006,2978
Mr. Hamilton Haley,4265,470
Buford Hamill,183,6621
Gaetano Harvey,5083,4179
Carlyle Little,7610,2477
Ms. Susana Kuvalis DDS,7867,5463
Ms. Evangelina Russel,6243,6396
Stella Koelpin DDS,785,186
Mrs. Louetta Gibson MD,219,817
Bryant Klein,922,7839
Danna Jenkins-Wunsch,1502,1557
Mr. Barnie Osinski,6821,1140
Hailie Gibson,6652,3218
Yessenia Bahringer DDS,9016,3359
Venus Ebert,947,7254
Neva D'Amore,5535,728
Mr. Koby Parker Jr.,349,2472
Barron Harris V,4294,9381
Iverson Walker-Harris,7948,6378
Tahj Reinger,4686,8932
Johnpaul Gaylord,3124,4655
Norwood Friesen-Breitenberg,2756,9690
Alfie Emard,7868,8934
Shane Borer MD,5090,1552
Mr. Volney Oberbrunner MD,2747,231
Benjaman Sauer,6122,9261
Sunny Lang,9313,8754
Alethea Wilderman,8072,9471
Jabbar Hane-Corwin,2686,4301
Jaquelin Walter,7796,996
Kellan Bergnaum,3368,3718
Ballard Hickle,8984,6495
Mrs. Tennie Krajcik DVM,2884,2775
Nolie Steuber,7858,6549
Orah Stracke,9462,1880
Leitha Hilll,2780,1472
Anthoney Crona,2515,5990
Camryn Morissette,9873,1469
Catherine Bernier,5364,1400
Dr. Siddie Keeling,5576,7819
Dr. Paulo Witting I,1370,2135
Urban Kozey,8856,7203
Christian Barton,6169,3745
Dr. Flor Trantow,9624,2261
Sharlene O'Reilly MD,5780,8911
Octa Kutch DDS,1705,494
Blanca Kihn-Effertz,1369,5889
Linn Veum,6574,4157
Pleasant Muller,1459,4277
Rosey Ferry,2975,9885
Roberta Huel DDS,428,7705
Glenwood Powlowski Sr.,5814,7386
Tilman Bahringer,1123,5864
Paige Hyatt,7217,3245
Gus Homenick,9914,2081
Ms. Jaden McKenzie,2615,5482
Mr. Keifer Okuneva,2339,3764
Warren Kub,8379,9893
Mr. Benny Brakus V,5578,2745
Jackson Dicki-Feil,1840,8710
Anton Leffler,8456,6235
Gerda Lakin,3455,648
Luciano Maggio,4023,6479
Valeria Corkery,9103,1093
Ailene Tillman,2194,2771
Tyrell Wintheiser,4239,8728
Maribel Donnelly,1692,4088
Averie Rempel PhD,2723,7991
Dimple Prohaska,244,1691
Laraine Rosenbaum-Bayer,2020,7033
Jasen Anderson-Dare,3298,8609
Dr. Bunk Marvin Sr.,851,2723
Theta Parker,2528,6588
Jadon Parker,5710,4743
Parthenia Hintz,4328,2377
Alfonse Goldner,7233,4931
Brendon Monahan,979,6352
Mr. Fed Kunze,3300,3500
Dr. Chrissie Casper DDS,8143,4164
Abbott Lockman,7519,2473
Reilly Conn,152,6152
Dr. Fitzgerald Murphy PhD,9960,8830
Clarance Collins-Morar,68,3565
Marietta Pfannerstill,9410,6468
Brendon Feeney MD,2754,2926
Christel Jacobs-Kihn,7320,4242
Miss Maci Abernathy MD,141,2733
Michal Upton,2642,2042
Elois Wehner,3997,7406
Kingston Ferry,4012,4100
Graham Sawayn,2858,3757
Megan Tillman,8641,3572
Lempi Terry,1946,9432
Leone Grady,406,6530
Alfreda Crona,3694,7882
Arturo Lindgren,7126,773
Charlotte Hilpert,901,180
Dorris Simonis,9732,5639
Andre Wisoky-Keebler,209,3929
Taniya Heidenreich,8127,6008
Ronaldo Pfeffer DDS,2110,3973
Powell O'Conner,4257,4514
Norita Turcotte,4167,2059
Blane Mills,3504,7256
Sinda Wisoky,5836,5481
Santina Beahan,4880,5402
Dr. Stefan Hintz,9796,2101
Marilynn Keeling PhD,3693,8470
Jeremy Thiel,9619,6795
Francies Hammes,4304,3641
Dr. Kasen Hickle II,6123,6488
Kassie Huels,3563,8460
Eustace Bechtelar,8391,1967
Miss Edmonia Luettgen PhD,5611,900
Mr. Gilford Mraz,2891,4846
Cruz Graham,5618,2369
Kristopher Stark DDS,1066,554
Florine Lakin,3847,6532
Evander Marks Jr.,2100,9093
Nicky Franecki,8138,252
Christene Walsh DVM,5822,6087
Lorine Hilpert DVM,2375,4361
Dr. Philo Barrows DDS,7327,9743
Miss Leonore Konopelski DVM,6970,2796
Nila Leuschke,245,9076
Easter Buckridge,5532,2114
Mr. Winnie Ward Sr.,1593,3069
Darien Gorczany IV,3918,9323
Francisco Gislason,2864,4512
Camille Berge,7268,2142
Garrett Will,4287,8825
Missie Krajcik,761,2308
Orville Friesen Jr.,1016,1168
Carmelo Jast,5630,9704
Mrs. Kristi Rath DVM,3926,1045
Ahmad Ernser,6613,7918
Lethia Kutch,8827,9426
Reubin Collier,4140,7227
Banks O'Connell,1294,2736
Emerson Runte,9474,6247
Vito Upton,3139,5342
Amir Carroll,2464,420
Shirley Hane Jr.,1313,5976
Donal Hettinger Sr.,2482,747
Delmas Goodwin,9897,7083
Essie Rutherford,3139,5099
Reba Daniel,1855,1359
Marion Brekke-Grimes,7830,206
Mable Abshire,6156,1175
Ms. Verna Moore PhD,3027,899
Kinley Schulist,4483,323
Mr. Rand Kuhic,3258,4170
Flem Moen II,6249,7323
Dominik Jerde,3106,5131
Mrs. Lacey Pfannerstill,7811,5358
Madelynn Schmeler-Schamberger,8852,2643
Nathaly Weber,91,5345
Jedediah Homenick,1067,3016
Madora Kuhic,4371,5801
Miss Santina Purdy,9840,8938
Jaidyn Collier,3908,4337
Charls Monahan,7166,1823
William Boyer,8503,3112
Bryon Thompson,8687,4740
Eddy Wolf-Wilderman,228,5640
Gonzalo Sauer,4827,5824
Miss Emerald Stokes DVM,3815,2272
Mrs. Elease Stanton DDS,2386,9566
Modena Reinger-Wilkinson,9363,8777
Luna Connelly,9700,2385
Miss Mylie Kulas,4335,6341
Mr. Nathaniel Mitchell,4996,2212
Alleen Bergnaum,6293,8595
Ms. Lucy Watsica DDS,2624,2595
Sie Will,4530,8210
Olin Batz-Rodriguez,9249,9248
Rufus Senger,4528,6866
Tavaris Gusikowski,7014,7597
Reba Jakubowski,228,3187
Yareli Rice,756,5427
Caesar Rogahn,21,2388
Velma Wyman,3147,3183
Dr. Thad Leuschke DDS,5907,2280
Henretta Ratke-Beier,8170,2291
Tiarra Wilderman,6500,2964
Dr. Joey Bogisich V,5533,3039
Nancie Moore,5006,8850
Maci Moore,2811,4918
Ms. Taliyah Treutel,1443,8964
Jaxton Greenfelder,6811,5373
Gussie Franecki-Ondricka,3154,6348
Dennis Predovic,1205,6396
Mr. Roe Armstrong,3059,3594
Ova Ruecker,8881,798
Audy Crona,8226,9066
Dexter Keeling,95,6198
Jose Waters,960,1800
Miss Alexis Witting PhD,2529,8797
Quinton Lemke MD,5661,7819
Icey McLaughlin,8213,5053
Kyrie Corkery-Cummerata,7532,1263
Obe Runolfsdottir-Kassulke,585,9764
Love Grant,4351,4145
Vic Friesen,3147,5911
Nils Emmerich II,127,4700
Christoper Barton,2005,3134
Rosario O'Kon-Botsford,5828,3172
Tameka Davis,7566,7627
Waverly Medhurst,6836,6612
Dr. Pete Gleichner PhD,9557,6535
Grant Spencer,3242,7002
Kenley Anderson-Little,7814,3589
Josefita Prohaska,3186,4104
Charlton Cummings,892,4730
Albertus Schulist,5997,511
Arne Schoen IV,2097,4709
Dr. Isis Crooks,9760,1015
Dora Senger,8231,2048
Winthrop Spencer,3548,4384
Delmas Kling PhD,3358,9077
Hence Gaylord,736,7194
Dr. Leon Quitzon PhD,6628,4778
Audra Schmeler PhD,3747,6151
Dr. Luca Beatty III,2488,2799
Eris Schmeler,4591,2870
Mrs. Samatha Dickens,2170,7758
Jeb Robel,9800,4726
Christene Rutherford,4023,2021
Yetta Ernser DDS,520,6976
Starla Kovacek PhD,1387,6257
Levin Grant-Dach,3003,7315
Isabell Ward,5357,3634
Dr. Alferd Moen V,9460,5018
Bettie Prosacco,2277,5684
Adele Rutherford MD,88,3992
Mora Windler,8813,2069
Karter Carter-Beahan,9121,8198
Lindy Goyette,4187,646
Rogers Fahey,6239,4164
Meredith Wolf-Weber,1911,9981
Cari Medhurst,3117,3104
Carlyn Ledner,1222,6216
Delcie Lind-Schaden,5829,4488
China McDermott-Bergnaum,6760,8847
Debora Breitenberg,3354,2297
Randy Beatty,7897,2210
Abie Rath,3318,5925
Edgardo Rempel,8311,9623
Mariel Goodwin,4257,4685
Jan Wilkinson,4267,5235
Murphy Hauck,5604,3075
Pauline Cartwright,4573,1624
Stasia Sporer,7087,2993
Maribeth Bernhard,4127,5455
Sterling Nolan,1571,5925
Miss Socorro Jenkins MD,2815,8641
Samual Kertzmann,3566,9418
Dr. Durward McDermott III,5671,521
Lucius Satterfield-Krajcik,6445,1033
Dr. Melvyn Stehr II,3757,4135
Geraldine Oberbrunner,603,6910
Karyn Haley,9511,4366
Hilary Adams,7401,1305
Benjiman Schiller I,8092,1417
Dewey Tromp,1942,4922
Velia Sipes,3880,4558
Orland Jast,3362,6354
Marland Huels,1383,5374
Tatia McClure MD,3082,9712
Dr. Tenisha Ratke PhD,1547,6973
Izabella Dickens,3446,8514
Charlsie Windler-Bruen,2126,8095
Iver Walter,3916,271
Triston Kozey IV,6410,5114
Dr. Tariq Shanahan I,9424,1382
Lindsey Sauer,3564,9191
Haruko Abernathy,5371,6419
Mr. Toshio Stiedemann,5991,8629
Gussie Kuhn,9722,7192
Yahir Swaniawski,2575,9696
Dr. Evander Ondricka,7376,9884
Dr. Alvin Bednar DVM,6929,7371
Mrs. Beadie Blanda,9591,5400
Nichole Kuhn,2238,4601
Gray Ratke,7721,5549
Coty Collier-DuBuque,1453,1126
Buel Rutherford,4282,4662
Keenen Baumbach Sr.,9480,9616
Kenya Torphy,2996,1104
Fleet Crist-Dietrich,1080,7854
Rod Steuber,6684,8347
Newell Bahringer,9847,30
Darby Kulas,5907,2858
Randolph O'Hara,7647,4390
Vannie Will,2091,1377
Mrs. Serenity Graham DDS,6961,1762
Erie Tromp-Zemlak,2126,6179
Corda Bayer,8276,6893
Mignon Larson-Bayer,6002,2333
Rosario Bashirian,9293,6251
Marylee Bashirian,6916,1298
Dr. Sim Gusikowski,3367,874
Benjman Kassulke II,2944,6602
Easton Murazik Sr.,4153,2368
Blake Cormier,4631,7114
Mr. French Franecki DDS,5338,695
Lilburn Padberg-Torp,5944,7002
Tommie Dare,9988,7717
Flem McCullough IV,2191,5452
Pearla Sporer,4257,8334
Shepherd Cronin,4989,3438
Julien Leuschke,5952,1954
Saige Kreiger,4768,870
Juwan Osinski,7727,2415
Frederick Harber,8263,4421
Colton Abbott-Reichel,810,4675
Corwin Mraz,7641,9098
Uriah Champlin,5429,4487
Betty Okuneva,6228,535
Deidra Hilll-Baumbach,5368,2750
Ilene Effertz-Gutkowski,4800,3291
Dr. Arnett Boyer,3823,3006
Princess Barton MD,6256,4836
Shania Morissette,134,1572
Minnie O'Kon,1027,2841
Tilda Kertzmann,8535,4151
Katelyn Mertz,9102,7057
Evelyn Stiedemann,2322,9231
Miss Kristina Mohr,6495,2219
Melisa Armstrong MD,1589,679
Ainsley Stehr,2596,1478
Joella Schuppe,2925,1972
Deliah Olson,8471,6083
Kizzie Jones,6815,3732
Luberta Morissette-Bruen,9737,7968
Shirley Murphy-Schneider,3233,2911
Lewis Watsica,2493,6818
Zion Altenwerth-Yost,618,3146
Vaughn Tremblay DVM,7755,9459
Mr. Nelson Jacobs,1878,9699
Susanna Casper,1849,1584
Sarrah White-Gutmann,7914,5988
Cassidy Hegmann,6691,9941
Kent Hudson-Hilll,1063,9094
Agatha Fahey,2908,105
Council Kulas DDS,4463,270
Tennessee Wehner,8469,7181
Lidie Kemmer,1905,5123
Mariela Rosenbaum,3684,6450
Kaylyn Jacobs,8467,6436
Florance Powlowski-Bechtelar,608,6553
Elvin Durgan,3079,2670
Fronnie Walsh-Grant,3882,7921
Metro Vandervort,5892,1781
Lou Torphy-Barrows,207,5475
Dr. Chase Sporer,4024,2465
Ryley Becker,880,8576
Shemar Bartoletti DVM,7357,8338
Tomika Farrell MD,8729,7464
Kathleen Okuneva,1560,9398
Ansley Spencer,7500,1954
Miah Sauer-Balistreri,7610,801
Kevan McLaughlin,3172,197
Liam Lind,3456,8774
Ulises Huels,3683,4135
Audriana Schumm,3753,1764
Ransom Ziemann,5069,7364
Ms. Ava Murray,4552,2370
Shyann Zemlak,5456,3885
Ramon Nikolaus,5268,1884
Mr. Terrill White,8405,4482
Mari Klocko-Bernier,8535,1211
Kirk Corwin,4218,5540
Kelton Lind,8147,726
Ms. Elenore Pollich DVM,5707,8955
Anastacia Cassin,4092,3177
Edwina Hansen-McGlynn,6196,7998
Dr. Fremont Hane PhD,4568,2378
Shepherd McGlynn-Boyer,7804,7854
Lynnette Fisher,336,457
Mr. Uriel Nicolas PhD,1261,2793
Mrs. Rubi Buckridge,911,7046
Matilde Bernhard,4065,2622
Ms. Blanch Harber,9918,5920
Dr. Jocelyn Frami,2187,9075
Alani Vandervort-Paucek,4323,7700
Babe Pacocha,6870,6642
Florie Ebert,7985,730
Josiephine Klocko,1296,5060
Dr. Burleigh Bashirian,8267,7432
Fuller Klein II,5606,8873
Adelbert Kub DDS,4588,45
Palma Crooks,2469,557
Jerica Schumm-Farrell,4973,842
Rosina McClure,1492,5613
Dr. Baker Trantow,7026,4559
Orrin Schuster,181,3675
Blaise McCullough,591,6426
Shanta Bernier-Goyette,5941,7676
Aydin Gleason III,2953,8948
Mr. Harper O'Connell II,8701,8221
Auguste Boehm,1829,2367
Almon Greenfelder I,3299,8315
Dr. Les Graham Sr.,3464,8922
Dameon Haley,8307,7489
Payton Moen MD,9990,2545
Silas Wuckert,4486,8814
Ira Hayes,2782,7214
Olinda Effertz DVM,1802,636
Nataly Bayer,8212,3688
Edrie Langworth,8776,1576
Myah McDermott,1640,7055
Melville Lesch,5564,8013
Elease Jones,5253,1817
Mr. Rhys Dooley,2374,4884
Darrin Spinka,9749,5340
Veola Bosco MD,8824,426
Jayme Shanahan,2954,924
Dr. Lambert Smith,6147,3504
Yamilex Pfannerstill,4179,4553
Mr. Toby Stracke V,9758,2945
Alton Pfeffer,8941,2722
Lue Johnson,8604,7594
Anjanette Bogisich,5648,9018
Farris Hauck-Emmerich,1730,1449
Chrissy Harber-Weber,194,2308
Taja Botsford,3991,4430
Alphonsus Conroy,8224,6324
Othel Abbott,3435,947
Willa Bogisich-Jerde,7755,1354
Petra Cremin-Crona,1980,2681
Delphia Kunde,1678,9730
Creola McKenzie,1070,7418
Stefani Johns,2841,5757
Miss Freddie Hickle DVM,7910,3667
Arley Quigley,1062,1367
Reece Marquardt-Streich,2370,4030
Mammie Reichert DVM,4678,7865
Cielo Wehner MD,9604,4120
Ms. Julie Rodriguez,9941,5340
Herbert Lockman,1076,8314
Robley Fritsch DDS,2452,4206
Yuliana Swift-Abshire,8779,7076
Miss Amya Parker,1891,1085
Jamaal Flatley,7503,1944
Delta Rogahn PhD,8578,7502
Shane Hammes,1311,646
Vannie Gusikowski,5836,6843
Thomas Zulauf Jr.,8322,1434
Miss Fairy Cassin,6620,1742
Jaret Schaefer,9152,8593
Wilfred Cole,4158,2128
Etta Upton,491,9971
Mcarthur Steuber,1897,8013
Dondre Nienow,3220,8913
Leeann Gislason,4588,763
Marely McKenzie,517,2341
Maricela Wolf,6773,7628
Mr. Brain Fisher III,9828,255
Justine Prosacco MD,3693,5086
Dr. Justice Bogan Jr.,8902,9337
Antonina Yundt,2385,6099
Ernestina Donnelly,123,94
Lyda Weissnat,1036,2689
Ken Klocko,1101,8862
Cyril Hettinger II,754,8181
Aleah Stoltenberg-Turcotte,3798,5443
Hurley Tremblay,5698,3727
Rosaria Swaniawski DDS,7465,835
Guss Jakubowski,6351,6460
Grove Braun,4010,414
Ms. Kylah Hudson PhD,5468,4226
Phillis Kling,586,6909
Nikole Block,4191,3295
Leslie Green,3657,6918
Squire Bradtke MD,6965,5921
Jayson Hessel,2004,9961
Tessie Borer-Lebsack,1700,4377
Dr. Gearld Krajcik,3875,3799
Nathaniel Goldner-Roob,3961,4695
Myrtle Nicolas,3637,3494
Theo McClure,4182,5792
Tripp Wolf,3426,6691
Issac Collier II,7153,2639
Carma Monahan,9296,4814
Kristin Leannon,8532,1118
Finley Swaniawski,6257,1539
Burnett Grady,5596,1427
Dr. Davis Kemmer,5999,5994
Latarsha Adams,3923,5341
Mr. Rogelio Deckow,4293,3162
Miss Tyesha Pfannerstill MD,1844,8705
Fernanda Wilkinson,3290,2385
Kamryn Brown,913,3119
Miss Lennie Carter,3788,5260
Miss Ela Strosin,1058,6296
Mr. Tobias Robel,2802,3276
Glendon Marquardt,2740,417
Sanai Kozey,570,8563
Jinnie Hand PhD,7467,771
Lilyan Gusikowski,30,3831
Early Collins,9213,346
Mr. Drew Gerlach,1501,3394
Dr. Ozzie Rodriguez DDS,4479,8162
Wynona Bartoletti,9415,2972
Miss Madalynn Rempel MD,2274,6951
Laron Murray,1788,5449
Dr. Johnny VonRueden,9647,6715
Mrs. Aldona Lindgren PhD,6372,8241
Yasmin Balistreri,2289,463
German Lubowitz,9829,8064
Amaris Murray-Crooks,8000,3085
Winifred Grimes,9594,9824
Dr. Keshawn Kub,356,2056
Jeremiah Carroll,4211,1678
Dorcas Klein-Lindgren,5966,1450
Torry Walker DVM,7339,284
Jaydon Nikolaus,172,4172
Dillan Cartwright,5131,2837
Sandy Dickens,3321,4689
Marlyn Walker,8997,4135
Berton Ebert,1653,244
Mr. Bluford Crooks,9618,5062
Tyriq Goodwin I,9248,7369
Chester Cruickshank,5179,7481
Tishie Corkery,64,6293
Jacalyn Gottlieb,4410,1699
Kimberely Turner,5440,7901
Dusty Hessel III,9077,2612
Ms. Danyell Bechtelar,1154,6181
Kathryn Farrell,1790,2452
Rowena Mayer,2474,156
Dr. Manerva Bergstrom,67,684
Ms. Terra Gottlieb,2986,5780
Daulton Stroman,3281,7098
Dr. Oran Stanton Sr.,8198,2890
Clemmie Baumbach,7593,1871
Mrs. Dannie Yundt PhD,7184,3023
Lise Toy,9735,6383
Ms. Felicie Hettinger,1882,2666
Mr. Lamont Rice V,6874,3064
Alpheus Price,9575,3928
Wilda Romaguera,3231,2716
Nelia Doyle-Berge,4915,9232
Sally Gusikowski-Reynolds,3161,8390
Mireya Treutel-Lueilwitz,600,7115
Ms. Daija Adams PhD,2843,2141
Maida Hoeger,809,6348
Gerrit Muller-Kuvalis,4777,2897
Dr. Ahmed Cummings V,2320,3170
Jose Bailey,8885,5003
Dr. Jamie Steuber I,4216,6386
David Herzog,4927,5639
Teddy Grady,232,9924
Ana Tromp,7663,5079
Robert Ritchie,8411,7615
Trinity Kerluke,8249,4891
Basil Kohler,8003,8279
Lulie Powlowski,3641,4942
Stefan Kuvalis,7740,1188
Shae Heller,5197,8010
Geraldo Hirthe,2053,7766
Tatiana Hartmann,3899,2184
Dr. Linnea Nikolaus,7957,2127
Mrs. Annemarie Trantow PhD,4039,9745
Iyana Bradtke,1081,8811
Sage Mante III,331,2611
Howell Gaylord II,352,8374
Vernal Christiansen,6657,5107
Ms. Elmina Harber DDS,5750,2277
Mychal Considine Sr.,649,7687
Salome Thiel DDS,8273,1938
Fidel Buckridge,4573,1556
Verda Blanda,2390,2485
Garold Wilkinson-Dickens,4910,3716
Ashleigh Medhurst,2526,9596
Mrs. Rihanna Quitzon PhD,6075,6732
Mannie Durgan,6090,9895
Alcide Davis,9935,7424
Dr. Tyson Macejkovic,554,8968
Mr. Jase Schowalter MD,8592,491
Zelia Runolfsdottir,7106,1569
Miner Greenfelder,2455,8566
Hal Wintheiser II,4162,9454
Haley Schinner MD,3379,8740
Merlene Considine,5471,2302
Tanika Goodwin,7731,5407
Dusty Lesch,3589,8868
Leo Kilback,4140,2488
Raymon Dickens,3753,7729
Cale Morissette,3317,9116
Ardith Huel,1826,2032
Dr. Walter Turner PhD,8483,131
Lanita Beahan,6437,339
Griffith Mayer,5584,3948
Phoenix Weimann,6301,3505
Randel Wilderman,1520,9112
Gabrielle Koss-Rosenbaum,7790,9550
Miss Nancy Waelchi DDS,1775,7948
Darryle Hettinger,9687,9592
Tricia Fritsch DVM,3999,9921
Dr. Reino Ziemann III,4924,3880
Shania Eichmann,1697,5437
Leola Nicolas-Hilpert,5444,7481
Miss Hilda Smitham DVM,3244,2390
Rosita Johnston-Russel,6450,474
Mirna Heathcote,8072,9607
Madalynn Mueller,6636,1331
Leslee Walker,3344,7172
Aron Adams,2272,5038
Lionel Borer,9532,4681
Rylie Oberbrunner,3970,5770
Miss Dafne Ledner DVM,8650,1782
Carmelita O'Keefe PhD,5262,9070
Melvyn Collier,8493,9798
Janel Moen,2787,9598
Phillip Schamberger,5408,8451
Kole Koch DDS,5981,516
Phoebe Robel,1905,8570
Mr. Ibrahim Littel MD,3154,3990
Mace Gibson III,884,7869
Mr. Harlon Paucek,1718,9394
Mrs. Ota Carroll,8958,2992
Collins Upton-Kassulke,8246,8977
Cecelia Stiedemann,5339,2986
Miss Ammie Walter MD,6249,4635
Marybeth Kuhic,1632,6673
Lindbergh Crist,3816,718
Aliana Denesik-Kozey,3175,6208
Mrs. Mae Morissette MD,3071,3735
Verna Kemmer,4018,4446
Miguelangel Pouros,3983,2792
Dr. Elbridge Williamson V,1779,259
Eloise Fisher,10,3773
Clarine Kuvalis-Yundt,9452,9326
Emmanuel Kuphal,4255,1370
Heather Abshire,80,7145
Dr. Kavon Dicki,179,9052
Lucia Kuhic,6524,5335
Charley Braun III,6437,3962
Darryll McGlynn,8802,1110
Cecil Armstrong-Tillman,9096,4108
Kaden Harvey,1056,4992
Eddie Rau,3977,9686
Jules Ritchie,1598,850
Isabella Crooks,5525,4936
Lew Gerlach,4945,7569
Marrion Wintheiser,5440,3688
Ms. Mariana Pacocha,1756,1895
Virgil Robel-Crona,8780,5361
Neha Ryan,1045,3199
Concha Wisozk,7053,2718
Selmer Wyman,956,6709
Wiliam Conroy,888,548
Karsyn Watsica,1652,5478
Olive Cummings,5048,737
Celia Goodwin,2170,1081
Anthony Robel,9896,450
Eliga Kohler,2955,8797
Kanesha Konopelski,1567,3051
Magnolia Kuhic,5450,5806
Mrs. Ceil Gibson DVM,3762,3654
Meghan Sporer,2341,7004
Saniyah Nolan,6206,3969
Treyvon Hettinger,748,1734
Gorden Runolfsson,4293,253
Jeannine Emard MD,4755,5359
Dr. Bethany Padberg DDS,9392,6670
Domenick Kuphal,9631,4720
Cinda Leannon,270,7617
Sullivan Koepp,6319,2458
Tilman Spinka,5981,8688
Jayvion Treutel-Russel,9421,116
Mrs. Lavera Mante DDS,3552,3047
Giada Dickinson,405,2931
Rachelle Dietrich,6335,7462
Dr. Lute Dickinson Sr.,6803,5996
Taryn Shields PhD,5675,1568
Albertine Keeling,3732,4182
Dr. Luis Wilkinson III,9861,8259
Dr. Vikki Wuckert,1165,1864
Carolyne Kohler,7412,2131
Denver Kozey,9942,1279
Bridgett Kovacek PhD,2132,3903
Kane Fritsch,2336,823
Dr. Dyan Jacobi,3535,39
Larae Schinner MD,358,4487
Shaniece Schoen DVM,6620,416
Mr. Polk Hauck II,9932,8850
Tobin Homenick-Pollich,8413,3889
Mrs. Coralie Hayes PhD,2746,4535
Loyd O'Kon-Haag,7680,2815
Dr. Mason Bruen,7287,6144
Bobby Gislason,3395,8133
Nicky Kuhlman MD,4991,1457
Rogelio Wilkinson,8645,3598
Ms. Teressa Robel,8037,6585
Alta Sawayn,738,9196
Gillian Lubowitz-Moen,5809,4893
Miss Briana Orn DVM,3849,875
Dr. Tressa Ratke DVM,5178,587
Gayle Hauck,4268,4513
Beecher Armstrong,7363,3083
Vernetta Ratke,4441,4277
Vernal Wunsch-Schultz,5454,1438
Karson Huels,273,3572
Elenor Fay,5632,3114
Miss Rose Kunze DDS,1771,751
Mr. Lenon Koelpin,4045,16
Malorie Schneider,3361,5079
Simpson Kuphal,5263,9399
Brittnay Bahringer,8009,6286
Carlie Kessler,6702,2359
Winter Johnson DVM,878,1518
Karol Lindgren,9491,8983
Dr. Dexter Jerde MD,4172,6862
Lauretta Toy,2549,4250
Margretta Krajcik,5229,217
Terrance Hansen,1894,702
Miss Susannah Barrows,4513,8701
Odalys Spencer,3917,527
Dr. Marilla Jenkins,8585,3653
Kiley Crist-Haley,2886,8124
Kahlil Schultz,5200,9687
Dontae Bruen-Cormier,4054,3422
Mrs. Eve Hintz,3440,4719
Jammie Ryan,8111,2984
Blain Williamson,6226,8423
Lea Stamm,1393,3618
Mrs. Devan Moore DDS,6554,7537
Johnnie Koelpin,1123,2778
Mrs. Azzie Collins,9881,671
Olie Macejkovic,5372,1820
Trever Blanda DVM,9067,720
Drew Goyette MD,5888,9579
Mrs. Coralie Reichert PhD,8229,5878
Pascal Miller,425,6313
Luann Aufderhar,8122,2912
Doshia Ratke,7720,9876
Maricela Hoppe,4212,9194
Jamin Hoeger,1166,5464
Giancarlo Wiza,5796,5949
Ciarra Ruecker PhD,8898,5494
Dr. Milda Dooley DDS,4428,6110
Kristofer Daugherty,480,4376
Mr. Anson Jacobi,6028,7361
Leanne Nader,6255,4055
Dr. Xander Klocko DVM,5102,5708
Mr. Jaleel Hagenes PhD,8580,6396
Pearl Bartell,6339,3335
Cierra Gutkowski-Casper,8870,2006
Mrs. Celie Rogahn,3644,6720
Magan Brekke,9394,2337
Tinnie Cruickshank,4489,3369
Raven Reilly-Bernier,7432,2469
Kenisha Metz,8614,2507
Chet Weissnat,7892,5043
Girtha White,950,7435
Wiley Osinski,1504,4399
Jerimiah Bashirian DVM,2407,5774
Mrs. Ilah Bogan PhD,27,6349
Shira Bergnaum,3617,3146
August Schultz,5245,4465
Tiana Hegmann,8069,4046
Gretta Lynch-Cummings,9547,3984
Nataly Schmitt,7580,5708
Dee Stroman,5469,5608
Nadine Jacobi,558,990
Michell Littel-Hane,8601,5744
Oda Cronin I,656,234
Krysten Wyman,6317,156
Kira Haley DVM,4150,5926
Boyd Krajcik,937,5412
Mr. Willy Jakubowski,8684,4333
Florine Konopelski-Hand,8480,153
